分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
R,R1101,LC5,"6,335 ",1.10%,3.14%,5.04%,9.22%,12.74%,15.49%,17.52%,19.53%,22.12%,24.89%,27.96%,30.78%,33.94%,36.89%,40.49%
R,R1201,LC5,"8,237 ",0.04%,3.30%,5.32%,8.94%,11.34%,14.12%,17.42%,19.98%,22.80%,25.69%,28.98%,31.82%,34.73%,38.64%,44.46%
R,R1301,LC5,"4,418 ",0.93%,3.44%,5.89%,8.74%,11.57%,13.92%,16.91%,19.78%,23.34%,26.98%,30.81%,34.38%,37.01%,41.42%,46.92%
R,R1302,LC5,"6,692 ",1.27%,2.12%,4.99%,8.05%,11.36%,14.48%,16.83%,19.52%,23.00%,26.29%,29.18%,32.74%,35.91%,39.39%,44.47%
R,R1401,LC5,"5,882 ",0.94%,2.69%,4.95%,8.99%,11.78%,15.50%,18.80%,21.76%,24.65%,27.32%,30.77%,33.61%,36.93%,40.77%,45.14%
R,R1402,LC5,"7,592 ",0.86%,2.40%,4.23%,8.00%,11.21%,13.66%,16.23%,19.05%,22.02%,25.13%,28.07%,31.12%,34.19%,37.76%,42.62%
R,R1501,LC5,"7,711 ",1.02%,2.14%,4.89%,6.89%,9.48%,11.85%,14.69%,16.76%,19.18%,22.20%,25.29%,28.40%,31.75%,35.88%,40.90%
R,R1502,LC5,"1,517 ",0.73%,2.18%,4.75%,8.37%,11.93%,15.10%,18.59%,23.07%,27.69%,31.51%,35.46%,38.96%,43.77%,49.64%,57.42%
R,R1601,LC5,"8,250 ",0.01%,0.08%,0.16%,0.27%,0.42%,0.72%,0.93%,1.18%,1.30%,27.39%,30.28%,33.50%,36.42%,40.25%,43.73%
R,R1701,LC5,"7,636 ",1.39%,3.08%,5.41%,8.80%,11.13%,13.97%,16.91%,18.96%,21.49%,24.06%,26.64%,29.50%,32.49%,35.61%,40.89%
R,R1801,LC5,"6,686 ",1.24%,3.75%,6.46%,9.23%,11.94%,14.76%,17.29%,19.71%,22.90%,26.10%,28.91%,32.40%,35.22%,39.43%,43.10%
R,R1901,LC5,"9,285 ",1.65%,4.60%,8.54%,11.75%,14.88%,17.32%,20.62%,23.64%,26.88%,30.19%,33.20%,35.88%,39.05%,42.18%,47.16%
R,R1902,LC5,"4,953 ",0.81%,2.69%,4.78%,7.77%,10.64%,13.28%,15.97%,18.53%,21.91%,24.71%,28.51%,31.76%,36.24%,41.41%,48.17%
R,R2001,LC5,"7,511 ",1.30%,3.65%,6.44%,10.58%,14.47%,17.49%,20.56%,23.43%,26.56%,30.32%,33.84%,36.83%,40.31%,45.03%,50.22%
R,R2101,LC5,"5,688 ",0.77%,1.83%,3.69%,6.24%,9.44%,12.54%,15.30%,17.93%,20.92%,24.49%,27.20%,30.27%,33.86%,37.66%,43.41%
R,R2201,LC5,"1,614 ",1.05%,2.48%,4.34%,6.82%,10.97%,14.25%,16.73%,20.38%,23.23%,25.15%,27.82%,30.92%,33.83%,37.67%,41.39%
R,R2202,LC5,"3,958 ",1.52%,3.71%,6.22%,10.49%,15.34%,18.37%,22.41%,26.53%,29.69%,33.45%,37.90%,41.92%,46.72%,53.13%,58.51%
R,R2301,LC5,"8,241 ",1.46%,4.10%,5.31%,10.71%,14.25%,16.26%,19.50%,22.56%,25.57%,29.92%,33.09%,34.44%,40.37%,45.71%,51.47%
R,R2302,LC5,"5,797 ",0.14%,0.55%,1.04%,1.64%,2.14%,2.57%,3.07%,3.69%,26.39%,29.53%,33.50%,36.85%,40.61%,44.83%,50.53%
R,R2401,LC5,"7,377 ",1.14%,3.09%,6.24%,10.21%,13.61%,16.55%,20.31%,23.56%,26.89%,29.86%,35.26%,38.53%,42.89%,47.47%,53.92%
R,R2501,LC5,"3,861 ",1.11%,2.98%,5.10%,8.26%,11.32%,13.73%,16.94%,20.46%,23.31%,27.14%,30.92%,35.35%,38.90%,44.19%,52.24%
R,R2502,LC5,"6,114 ",0.33%,2.73%,4.73%,7.77%,11.48%,14.52%,18.40%,21.59%,24.94%,28.49%,32.35%,36.13%,39.52%,43.65%,51.46%
R,R2601,LC5,"9,109 ",1.02%,3.22%,4.42%,9.04%,12.14%,14.59%,16.92%,19.32%,22.23%,25.29%,28.80%,31.97%,35.14%,39.78%,44.66%
R,R2701,LC5,"11,061 ",1.01%,3.20%,5.46%,9.32%,11.27%,13.90%,17.02%,19.82%,22.95%,26.02%,29.62%,33.13%,36.54%,40.30%,46.56%
R,R2801,LC5,"6,508 ",1.44%,3.60%,5.75%,8.30%,11.28%,13.84%,16.23%,18.50%,21.34%,24.42%,27.55%,30.61%,34.50%,39.61%,45.96%
R,R2901,LC5,"10,675 ",0.97%,2.17%,3.79%,6.61%,8.96%,10.78%,13.11%,15.30%,17.80%,20.58%,24.04%,27.21%,30.75%,35.46%,41.42%
R,R3001,LC5,"9,249 ",0.64%,2.29%,4.77%,7.11%,9.80%,12.49%,14.74%,17.05%,19.66%,22.62%,26.06%,29.01%,31.99%,35.98%,40.67%
R,R3101,LC5,"8,835 ",0.80%,2.09%,4.57%,7.84%,10.61%,14.13%,17.28%,20.33%,23.64%,26.17%,29.81%,33.50%,37.31%,41.53%,49.62%
R,R3102,LC5,"6,112 ",0.82%,2.93%,5.17%,7.89%,9.88%,11.58%,14.82%,17.52%,20.32%,23.67%,26.24%,29.84%,33.07%,36.62%,44.08%
R,R3201,LC5,"7,837 ",1.01%,2.46%,4.49%,7.78%,10.88%,14.02%,17.00%,20.07%,22.99%,26.39%,30.09%,33.49%,37.16%,41.53%,46.31%
R,R3301,LC5,"7,155 ",0.85%,2.95%,3.65%,5.74%,12.29%,16.06%,19.50%,22.88%,25.46%,29.18%,32.98%,37.29%,42.63%,47.23%,51.74%
R,R3401,LC5,"4,957 ",0.95%,2.90%,5.95%,9.02%,12.61%,15.59%,19.67%,23.24%,26.73%,30.78%,35.04%,40.91%,44.54%,49.63%,58.28%
R,R3402,LC5,"6,141 ",0.78%,2.85%,5.41%,9.15%,12.18%,16.17%,18.34%,19.25%,22.44%,27.10%,30.16%,33.94%,38.38%,43.14%,49.37%
R,R3601,LC5,"12,081 ",1.02%,3.01%,5.83%,8.38%,12.42%,15.06%,17.65%,20.19%,22.91%,26.02%,29.26%,32.24%,35.52%,39.33%,43.80%
S,S0101,LC4,"7,135 ",0.95%,2.93%,5.68%,8.96%,11.41%,14.55%,18.02%,20.39%,23.99%,27.22%,29.85%,33.62%,37.18%,41.40%,45.94%
S,S0102,LC4,"3,763 ",1.67%,4.17%,7.23%,10.74%,12.89%,14.70%,16.53%,18.42%,20.78%,24.63%,27.21%,30.27%,33.14%,36.43%,39.78%
S,S0201,LC4,"10,149 ",0.88%,3.17%,6.38%,10.21%,14.27%,15.35%,16.03%,16.95%,19.32%,21.31%,25.15%,28.07%,31.34%,34.64%,38.63%
S,S0301,LC4,"6,907 ",1.62%,4.01%,7.18%,10.89%,13.36%,16.00%,18.79%,21.72%,25.08%,28.39%,31.39%,34.67%,37.95%,41.33%,45.20%
S,S0401,LC4,"8,578 ",0.85%,3.37%,5.92%,8.87%,11.54%,13.81%,16.58%,18.87%,21.44%,24.47%,27.31%,31.29%,34.62%,38.45%,42.63%
S,S0501,LC4,"8,646 ",1.04%,3.31%,5.97%,9.45%,12.85%,15.23%,18.03%,20.41%,23.25%,26.30%,29.79%,33.89%,37.29%,41.85%,46.61%
S,S0601,LC4,"10,683 ",1.02%,3.55%,6.80%,10.10%,13.22%,15.59%,18.19%,20.39%,23.67%,27.16%,30.67%,33.61%,37.06%,40.61%,44.39%
S,S0701,LC4,"10,338 ",1.67%,4.32%,6.91%,11.38%,14.17%,17.05%,19.61%,22.75%,25.80%,29.19%,32.44%,35.77%,38.94%,42.54%,46.25%
S,S0801,LC4,"9,802 ",0.64%,2.86%,6.47%,10.02%,12.67%,15.20%,18.14%,20.59%,23.50%,26.39%,29.44%,32.45%,35.59%,38.83%,43.34%
S,S0901,LC4,"9,459 ",1.06%,2.15%,7.68%,11.47%,15.49%,17.90%,20.67%,23.07%,26.49%,27.55%,32.80%,35.61%,38.87%,41.47%,44.84%
S,S1001,LC4,"7,617 ",0.95%,2.49%,4.63%,7.65%,10.31%,13.06%,15.54%,18.55%,21.20%,24.05%,26.61%,30.16%,33.07%,37.30%,40.71%
S,S1101,LC4,"11,282 ",4.45%,4.60%,9.30%,13.38%,16.31%,19.85%,22.54%,25.24%,28.89%,32.07%,35.46%,38.96%,42.19%,45.58%,49.63%
S,S1201,LC4,"2,373 ",0.93%,2.65%,5.44%,9.52%,12.56%,17.15%,20.56%,24.91%,28.74%,31.77%,35.95%,39.70%,42.69%,47.03%,55.04%
S,S1202,LC4,"1,150 ",1.30%,4.26%,6.35%,9.48%,13.39%,17.04%,20.00%,23.30%,26.09%,29.30%,32.26%,35.48%,37.22%,40.09%,43.83%
S,S1203,LC4,"5,280 ",1.21%,3.45%,5.28%,8.37%,10.38%,12.67%,15.09%,17.18%,19.34%,21.84%,24.55%,27.39%,30.64%,33.64%,38.22%
S,S1301,LC4,"6,346 ",0.99%,3.26%,6.15%,8.57%,11.79%,15.13%,17.96%,21.27%,24.55%,27.95%,31.39%,34.65%,37.93%,42.39%,47.04%
S,S1401,LC4,"8,613 ",0.78%,2.91%,5.97%,9.29%,13.13%,16.13%,18.96%,21.58%,24.36%,27.26%,30.18%,33.61%,36.47%,40.11%,44.92%
S,S1501,LC4,"8,595 ",1.56%,3.53%,6.03%,10.11%,13.16%,16.31%,19.33%,22.37%,25.60%,29.32%,32.41%,35.53%,38.96%,42.80%,47.45%
S,S1601,LC4,"7,992 ",0.78%,2.52%,5.13%,7.57%,9.77%,11.30%,13.65%,15.78%,18.22%,20.91%,23.99%,27.35%,30.59%,33.83%,37.81%
S,S1701,LC4,"10,577 ",0.88%,2.89%,5.65%,8.43%,11.05%,13.57%,15.85%,17.94%,20.48%,22.96%,25.83%,28.48%,31.53%,34.48%,38.39%
S,S1801,LC4,"11,155 ",0.83%,2.46%,4.63%,7.20%,9.48%,11.88%,14.50%,17.21%,19.94%,23.33%,26.28%,29.44%,33.22%,38.29%,44.61%
S,S1901,LC4,"7,414 ",1.66%,3.78%,5.89%,9.67%,12.25%,15.24%,19.11%,22.92%,25.80%,29.42%,32.95%,36.51%,40.14%,44.08%,50.31%
S,S2001,LC4,"9,106 ",0.80%,2.19%,4.07%,7.29%,10.07%,12.69%,15.12%,17.57%,20.23%,22.93%,26.42%,29.21%,31.91%,35.47%,40.72%
S,S2101,LC4,"1,968 ",0.61%,1.68%,2.90%,5.95%,8.94%,11.43%,14.38%,18.04%,21.09%,24.03%,27.54%,29.73%,33.94%,37.91%,44.31%
S,S2102,LC4,"8,467 ",1.56%,2.44%,4.83%,7.61%,10.61%,14.34%,17.70%,20.70%,23.72%,27.96%,31.90%,35.51%,38.83%,42.84%,48.99%
S,S2201,LC4,"5,114 ",0.90%,2.64%,5.01%,7.35%,9.78%,12.34%,13.98%,15.80%,17.74%,20.38%,22.96%,25.24%,27.94%,30.29%,32.87%
S,S2202,LC4,"6,015 ",1.10%,2.98%,5.29%,7.61%,10.19%,13.03%,16.09%,18.52%,21.60%,24.89%,27.35%,29.96%,33.47%,37.81%,41.76%
S,S2301,LC4,"7,428 ",0.97%,2.79%,5.43%,7.86%,9.81%,12.39%,14.75%,16.49%,18.56%,21.04%,23.76%,26.49%,28.69%,31.27%,33.78%
S,S2302,LC4,"4,504 ",0.87%,3.17%,6.15%,9.37%,12.14%,14.52%,17.74%,20.94%,23.98%,26.89%,30.35%,33.26%,35.88%,39.96%,46.43%
S,S2401,LC4,"8,429 ",1.00%,3.48%,6.89%,10.37%,13.31%,15.48%,18.16%,20.23%,22.62%,25.52%,29.03%,32.35%,35.29%,39.00%,43.10%
S,S2501,LC4,"1,186 ",0.34%,1.10%,4.30%,7.50%,10.96%,14.76%,18.80%,22.77%,26.05%,29.85%,36.00%,41.32%,45.62%,51.35%,56.24%
S,S2502,LC4,"5,406 ",1.02%,3.40%,6.53%,9.91%,13.26%,15.46%,18.18%,20.16%,22.35%,24.88%,27.93%,31.71%,35.66%,40.68%,46.49%
S,S2601,LC4,"8,265 ",1.27%,3.65%,6.84%,9.82%,12.30%,14.49%,16.83%,18.83%,21.52%,24.08%,27.53%,30.94%,34.37%,37.76%,41.61%
S,S2701,LC4,"10,903 ",1.04%,3.12%,5.24%,7.39%,10.35%,12.79%,15.16%,17.86%,20.43%,23.35%,26.30%,29.10%,31.84%,35.81%,40.46%
S,S2801,LC4,"9,501 ",0.72%,2.45%,4.79%,7.36%,9.75%,12.09%,14.50%,16.63%,19.19%,22.22%,25.51%,29.25%,32.98%,37.26%,41.80%
T,T0101,LC4,"1,823 ",3.24%,9.00%,14.10%,16.68%,19.64%,22.44%,26.06%,28.69%,31.05%,33.79%,36.97%,40.15%,45.86%,49.42%,51.29%
T,T0102,LC4,102 ,1.96%,15.69%,31.37%,35.29%,36.27%,44.12%,44.12%,44.12%,47.06%,48.04%,48.04%,50.00%,50.00%,50.00%,50.00%
T,T0103,LC4,35 ,2.86%,2.86%,25.71%,42.86%,51.43%,51.43%,54.29%,60.00%,60.00%,60.00%,60.00%,62.86%,62.86%,62.86%,62.86%
T,T0104,LC4,575 ,1.22%,2.61%,6.43%,10.26%,13.39%,18.96%,22.09%,25.04%,28.70%,32.52%,37.04%,39.30%,41.04%,43.65%,45.91%
T,T0105,LC4,68 ,0.00%,0.00%,11.76%,20.59%,27.94%,29.41%,36.76%,44.12%,45.59%,47.06%,47.06%,47.06%,47.06%,47.06%,47.06%
T,T0106,LC4,68 ,0.00%,0.00%,0.00%,0.00%,1.47%,1.47%,1.47%,1.47%,1.47%,48.53%,48.53%,48.53%,48.53%,48.53%,48.53%
T,T0107,LC4,"2,612 ",1.61%,4.25%,9.23%,13.74%,16.58%,18.99%,20.87%,23.12%,25.61%,28.64%,32.35%,37.02%,40.16%,43.38%,46.86%
T,T0108,LC4,314 ,0.00%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,26.75%,31.53%,37.26%,43.31%,49.68%,52.23%,56.69%
T,T0109,LC4,790 ,0.13%,2.03%,5.32%,10.76%,13.80%,16.46%,19.37%,20.76%,23.80%,28.35%,29.87%,35.06%,38.10%,42.41%,45.57%
T,T0201,LC4,"6,394 ",0.74%,3.24%,6.27%,9.62%,13.34%,15.72%,19.49%,21.27%,23.98%,27.15%,30.45%,33.91%,37.80%,42.18%,47.23%
T,T0301,LC4,"7,751 ",0.89%,2.68%,5.51%,8.40%,11.02%,13.46%,16.13%,18.14%,21.04%,23.43%,26.60%,29.66%,32.82%,37.47%,42.69%
T,T0401,LC4,"5,180 ",0.58%,2.84%,6.43%,10.50%,14.25%,17.78%,21.56%,26.89%,29.46%,34.58%,35.68%,38.26%,41.74%,45.62%,50.00%
T,T0501,LC4,"9,703 ",0.68%,3.03%,4.99%,8.57%,11.81%,14.50%,17.08%,19.42%,22.47%,25.39%,28.13%,30.77%,33.80%,37.15%,41.15%
T,T0601,LC4,"4,128 ",0.97%,2.91%,6.61%,13.57%,14.78%,15.55%,16.13%,16.76%,18.17%,20.49%,22.70%,25.29%,28.59%,31.18%,36.19%
T,T0701,LC4,"3,567 ",1.15%,3.95%,7.77%,11.33%,14.94%,17.77%,20.86%,23.49%,25.90%,27.92%,30.84%,34.40%,39.11%,43.29%,47.07%
T,T0801,LC4,"2,032 ",2.81%,6.59%,10.24%,14.81%,18.65%,20.87%,22.59%,24.02%,25.79%,28.44%,31.10%,34.50%,37.06%,40.90%,44.09%
T,T0802,LC4,274 ,0.36%,0.36%,8.03%,9.85%,13.87%,15.33%,17.52%,18.61%,21.53%,25.91%,27.37%,30.66%,32.48%,33.94%,36.13%
T,T0901,LC4,"3,933 ",1.25%,3.38%,7.09%,10.53%,12.51%,14.87%,16.30%,17.85%,19.93%,22.45%,25.71%,29.34%,33.49%,38.42%,42.33%
T,T0902,LC4,"1,999 ",1.20%,3.35%,5.35%,9.20%,11.56%,13.36%,15.36%,17.21%,19.56%,21.96%,25.01%,28.41%,30.97%,35.52%,39.02%
T,T1001,LC4,"2,656 ",0.83%,3.80%,8.09%,11.45%,14.65%,16.87%,19.69%,21.16%,23.23%,25.72%,28.69%,32.15%,35.73%,39.95%,42.24%
T,T1002,LC4,"3,430 ",1.57%,5.63%,8.95%,14.29%,17.90%,19.62%,21.95%,23.79%,25.31%,27.84%,30.06%,33.62%,35.60%,38.86%,41.11%
