分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
C,C3601,LC1,"8,034 ",1.28%,3.58%,6.15%,9.80%,12.91%,15.38%,18.68%,21.28%,24.98%,28.67%,32.33%,36.10%,38.88%,42.59%,47.11%
C,C3701,LC1,"6,379 ",1.07%,3.21%,5.39%,9.16%,11.40%,14.44%,17.56%,20.11%,24.24%,27.94%,31.57%,35.07%,38.03%,41.68%,46.46%
D,D0101,LC1,"10,227 ",0.97%,3.56%,6.16%,9.03%,12.37%,15.54%,18.67%,22.25%,25.49%,29.25%,32.77%,36.55%,41.18%,45.66%,51.27%
D,D0201,LC1,"9,194 ",1.11%,4.24%,6.97%,10.67%,13.42%,15.77%,18.00%,20.07%,23.19%,26.33%,29.62%,32.54%,35.80%,38.89%,43.22%
D,D0301,LC1,"4,867 ",2.81%,3.76%,6.76%,9.88%,13.46%,16.99%,20.48%,23.83%,28.00%,31.89%,36.08%,39.76%,44.57%,48.00%,54.08%
D,D0302,LC1,"4,358 ",1.77%,2.98%,5.16%,8.81%,12.02%,15.28%,18.95%,22.14%,25.93%,29.51%,32.97%,37.20%,41.88%,47.43%,52.94%
D,D0401,LC1,"8,025 ",1.01%,2.88%,5.00%,7.81%,10.64%,12.55%,14.83%,16.76%,19.60%,22.68%,25.36%,28.16%,31.39%,35.08%,40.07%
D,D0501,LC1,"7,238 ",2.04%,5.10%,8.32%,11.16%,13.80%,16.39%,19.29%,21.75%,24.23%,27.29%,29.86%,32.69%,35.77%,39.13%,43.59%
D,D0601,LC1,"3,242 ",0.93%,3.79%,6.72%,11.97%,16.56%,21.28%,25.57%,30.20%,34.98%,39.20%,43.37%,47.87%,53.55%,60.36%,67.80%
D,D0701,LC1,"10,842 ",0.91%,3.09%,5.73%,10.39%,14.95%,19.34%,23.42%,28.09%,32.96%,37.76%,42.45%,46.40%,51.16%,57.19%,65.30%
D,D0801,LC1,"11,052 ",1.27%,3.60%,7.04%,9.65%,13.08%,16.01%,18.47%,21.15%,24.23%,27.81%,31.42%,34.47%,38.01%,41.77%,46.68%
D,D0901,LC1,"8,436 ",0.01%,0.07%,0.13%,0.19%,0.25%,0.28%,0.37%,0.44%,19.55%,22.63%,25.84%,29.37%,32.67%,35.93%,41.30%
D,D1001,LC1,"9,101 ",0.86%,2.83%,4.90%,7.93%,10.41%,12.80%,14.97%,17.46%,19.89%,22.98%,26.01%,29.38%,32.19%,35.63%,38.78%
D,D1101,LC1,"1,500 ",0.93%,4.47%,7.40%,10.00%,15.33%,18.67%,21.40%,24.20%,27.40%,30.93%,35.33%,39.67%,43.13%,46.67%,50.67%
D,D1102,LC1,"2,170 ",0.97%,2.63%,3.96%,6.68%,10.41%,14.84%,18.71%,22.63%,26.41%,29.95%,36.31%,41.38%,45.76%,51.06%,56.18%
D,D1103,LC1,"1,033 ",0.97%,3.19%,5.52%,9.87%,15.20%,22.65%,28.17%,32.91%,37.95%,41.82%,46.18%,50.92%,54.31%,59.15%,66.99%
D,D1201,LC1,883 ,2.04%,4.53%,7.13%,11.33%,13.93%,15.97%,18.80%,21.06%,23.78%,26.27%,29.56%,34.31%,37.49%,39.86%,43.26%
D,D1202,LC1,"8,320 ",1.54%,4.75%,8.10%,14.07%,18.79%,22.27%,26.49%,30.75%,34.44%,38.16%,42.55%,46.42%,50.77%,55.32%,60.75%
D,D1301,LC1,"2,476 ",1.13%,2.79%,6.38%,9.89%,14.14%,17.61%,20.56%,22.86%,25.40%,28.72%,31.58%,35.30%,39.01%,43.66%,47.58%
D,D1302,LC1,"7,041 ",1.35%,4.46%,7.13%,10.01%,12.97%,15.62%,18.45%,20.79%,23.89%,26.64%,29.73%,32.69%,36.40%,40.61%,44.78%
