dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
F,F03,F0301,"7,188 ",0.71%,2.59%,6.02%,9.50%,12.21%,15.01%,18.42%,20.91%,24.00%,26.45%,29.66%,32.40%,35.21%,38.15%,40.60%
F,F04,F0401,"8,889 ",0.55%,2.59%,5.40%,8.44%,10.75%,13.06%,15.33%,17.43%,19.93%,22.30%,25.17%,27.22%,29.64%,32.03%,33.94%
F,F05,F0501,"6,935 ",0.95%,2.55%,4.64%,6.92%,8.94%,10.68%,13.05%,15.04%,17.19%,19.65%,22.09%,23.65%,25.71%,26.92%,28.26%
F,F06,F0601,"6,505 ",1.00%,2.74%,5.60%,8.18%,10.96%,13.11%,15.37%,17.54%,20.02%,22.06%,25.06%,27.27%,29.58%,31.27%,32.94%
F,F07,F0701,"5,967 ",0.82%,3.07%,5.35%,9.18%,12.20%,14.85%,17.16%,19.86%,23.29%,25.99%,29.73%,32.83%,35.96%,39.27%,41.75%
F,F08,F0801,"8,758 ",1.92%,5.39%,9.48%,13.44%,16.18%,18.95%,21.47%,24.54%,27.52%,30.60%,34.35%,37.90%,41.68%,45.32%,48.55%
F,F09,F0901,"9,729 ",1.55%,5.03%,9.21%,13.71%,17.62%,20.97%,24.63%,27.95%,32.58%,35.72%,38.95%,41.99%,44.87%,48.08%,50.39%
F,F10,F1001,"8,002 ",1.66%,5.32%,8.25%,12.05%,15.02%,17.35%,20.09%,23.28%,26.36%,29.22%,32.22%,34.44%,36.72%,39.84%,41.83%
F,F11,F1101,"9,007 ",1.25%,3.96%,7.44%,11.60%,15.10%,18.19%,21.61%,24.64%,28.26%,31.42%,35.58%,38.85%,42.44%,45.82%,50.22%
F,F12,F1201,"8,011 ",1.00%,3.18%,7.12%,11.28%,15.52%,19.15%,22.98%,26.59%,30.20%,34.18%,37.29%,40.57%,43.44%,47.80%,51.12%
F,F13,F1301,"7,149 ",0.57%,2.95%,6.10%,9.67%,13.34%,16.45%,20.14%,23.16%,26.84%,29.72%,32.80%,36.24%,38.86%,42.01%,45.45%
F,F14,F1401,"7,698 ",1.22%,3.27%,6.22%,9.74%,12.95%,15.38%,18.86%,21.67%,25.21%,27.57%,31.25%,33.59%,36.22%,39.00%,41.48%
F,F15,F1501,"6,609 ",0.70%,2.28%,5.70%,9.31%,13.22%,16.30%,19.67%,23.10%,26.13%,29.82%,33.33%,36.16%,38.96%,43.26%,47.77%
F,F16,F1601,"12,290 ",2.47%,6.23%,10.57%,15.26%,19.45%,22.26%,25.52%,28.36%,32.28%,35.58%,38.59%,41.64%,43.38%,45.84%,47.93%
F,F17,F1701,"9,865 ",1.42%,4.52%,8.58%,11.87%,14.97%,17.45%,20.43%,23.41%,26.60%,29.63%,32.61%,34.80%,38.05%,40.63%,43.28%
F,F18,F1801,"9,032 ",1.72%,5.04%,9.43%,13.14%,16.14%,19.02%,22.27%,24.77%,27.90%,30.97%,34.15%,36.74%,39.26%,42.07%,44.73%
F,F19,F1901,"5,229 ",0.55%,1.78%,3.82%,6.33%,9.56%,11.80%,15.43%,18.15%,20.67%,23.10%,25.86%,29.09%,31.73%,34.79%,39.19%
F,F20,F2001,"11,222 ",1.38%,4.56%,7.97%,11.33%,14.77%,17.12%,20.14%,23.52%,26.03%,28.84%,31.86%,34.13%,36.85%,39.64%,42.01%
F,F21,F2101,"4,078 ",1.03%,3.09%,5.66%,8.31%,11.06%,13.66%,16.36%,18.64%,21.78%,24.91%,27.88%,30.68%,33.45%,36.46%,40.14%
