分區編號,投票站編號 ,地方選區,選民人數*,累積投票率* Aggregate Voter Turnout Rate*,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors*,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
R,R2601,LC5,"9,080 ",0.65%,2.20%,4.79%,8.52%,12.72%,16.72%,21.26%,25.50%,29.97%,33.93%,37.44%,41.28%,45.09%,49.43%,54.31%
R,R2801,LC5,"13,129 ",0.67%,2.39%,5.31%,8.74%,12.51%,16.51%,19.91%,23.75%,27.48%,31.51%,34.76%,38.34%,41.39%,45.36%,49.39%
R,R2901,LC5,"13,820 ",0.69%,2.63%,5.35%,9.07%,12.84%,16.68%,20.33%,23.98%,27.79%,31.11%,34.53%,38.47%,41.86%,45.91%,49.91%
R,R3001,LC5,"6,907 ",0.84%,2.91%,6.04%,9.74%,12.42%,16.85%,20.54%,23.90%,27.35%,30.82%,34.20%,38.40%,42.10%,45.88%,50.35%
R,R3002,LC5,"3,625 ",0.50%,2.37%,4.94%,9.08%,13.05%,17.35%,20.74%,24.80%,29.54%,33.60%,37.88%,42.15%,46.29%,51.03%,56.22%
R,R3101,LC5,"13,210 ",0.54%,2.33%,4.72%,7.83%,11.14%,14.28%,17.09%,20.04%,23.04%,26.41%,29.98%,33.35%,36.53%,40.29%,43.59%
R,R3201,LC5,"9,340 ",0.45%,2.07%,4.61%,7.47%,10.51%,13.49%,16.20%,18.97%,22.16%,25.01%,28.22%,31.49%,34.12%,36.60%,39.67%
R,R3202,LC5,"5,955 ",1.19%,3.16%,5.86%,9.10%,13.22%,16.83%,19.50%,22.43%,25.66%,29.62%,32.93%,36.19%,39.51%,42.22%,45.10%
R,R3301,LC5,"11,731 ",0.53%,2.11%,5.02%,8.52%,12.33%,16.37%,20.90%,23.98%,28.33%,31.68%,35.50%,39.48%,42.90%,47.26%,52.54%
R,R3401,LC5,"8,406 ",0.98%,2.66%,5.34%,9.05%,12.74%,16.46%,20.37%,23.41%,26.97%,30.56%,34.21%,38.52%,41.71%,44.71%,48.43%
R,R3402,LC5,"2,448 ",0.57%,2.45%,5.96%,8.91%,11.44%,13.85%,16.63%,19.36%,21.81%,24.47%,27.21%,30.31%,32.88%,35.09%,36.85%
R,R3501,LC5,"9,484 ",0.51%,1.77%,4.25%,7.54%,11.48%,15.47%,18.91%,22.76%,26.25%,30.05%,33.65%,37.94%,41.20%,44.44%,48.13%
R,R3601,LC5,"6,269 ",0.72%,2.82%,5.84%,9.84%,14.42%,19.24%,24.20%,29.10%,33.75%,38.28%,42.94%,48.62%,52.58%,56.34%,62.35%
R,R3602,LC5,"2,058 ",1.21%,3.45%,6.12%,9.77%,12.73%,15.45%,18.03%,20.26%,23.18%,25.90%,28.33%,31.97%,34.50%,37.51%,39.80%
R,R3701,LC5,"10,161 ",0.70%,2.40%,5.09%,7.35%,11.47%,15.43%,19.23%,23.16%,27.20%,30.96%,35.32%,39.01%,42.49%,46.55%,50.75%
