,Counts
"('30/05/2014-901', 'Present')",8
"('30/05/2014-782', 'Present')",8
"('21/05/2015-228', 'Present')",8
"('28/05/2014-349', 'Present')",8
"('28/05/2014-123', 'Present')",8
"('30/05/2014-808', 'Present')",8
"('21/05/2015-176', 'Present')",8
"('30/05/2014-735', 'Present')",8
"('29/05/2014-553', 'Present')",7
"('28/05/2014-343', 'Present')",7
"('30/05/2014-854', 'Present')",7
"('21/05/2015-117', 'Present')",7
"('29/05/2014-452', 'Present')",7
"('03/06/2015-34', 'Present')",7
"('21/05/2015-149', 'Present')",7
"('27/05/2015-480', 'Present')",7
"('16/05/2013-515', 'Present')",7
"('04/06/2014-1041', 'Present')",7
"('29/05/2014-666', 'Present')",7
"('23/05/2014-65', 'Present')",7
"('30/05/2014-737', 'Present')",7
"('29/05/2014-423', 'Present')",7
"('30/05/2014-759', 'Present')",7
"('29/05/2014-463', 'Present')",7
"('29/05/2014-410', 'Present')",7
"('30/05/2014-741', 'Present')",7
"('16/05/2013-526', 'Present')",7
"('28/05/2014-281', 'Present')",7
"('11/05/2016-6', 'Present')",7
"('16/05/2013-519', 'Present')",7
"('21/05/2015-277', 'Present')",7
"('29/05/2014-506', 'Present')",7
"('23/05/2014-69', 'Present')",7
"('30/05/2014-778', 'Present')",7
"('30/05/2014-725', 'Present')",7
"('30/05/2014-718', 'Present')",7
"('28/05/2014-211', 'Present')",7
"('22/05/2015-370', 'Present')",7
"('04/06/2014-950', 'Present')",7
"('23/05/2014-81', 'Present')",7
"('16/05/2013-481', 'Present')",7
"('30/05/2014-728', 'Present')",7
"('22/05/2015-347', 'Present')",7
"('28/05/2014-326', 'Present')",7
"('29/05/2014-615', 'Present')",7
"('29/05/2014-422', 'Present')",7
"('30/05/2014-867', 'Present')",7
"('11/05/2016-24', 'Present')",7
"('16/05/2013-606', 'Present')",7
"('29/05/2014-453', 'Present')",7
"('16/05/2013-516', 'Present')",7
"('23/05/2014-73', 'Present')",7
"('30/05/2014-730', 'Present')",7
"('16/05/2013-538', 'Present')",7
"('11/05/2016-22', 'Present')",7
"('21/05/2015-266', 'Present')",7
"('21/05/2015-300', 'Present')",7
"('11/05/2016-21', 'Present')",7
"('28/05/2014-338', 'Present')",7
"('04/06/2014-989', 'Present')",7
"('22/05/2015-352', 'Present')",7
"('21/05/2015-102', 'Present')",7
"('29/05/2014-683', 'Present')",7
"('04/06/2014-951', 'Present')",7
"('22/05/2015-402', 'Present')",7
"('16/05/2013-482', 'Present')",7
"('21/05/2015-115', 'Present')",7
"('29/05/2014-455', 'Present')",7
"('29/05/2014-551', 'Present')",7
"('28/05/2014-157', 'Present')",7
"('28/05/2014-333', 'Present')",7
"('30/05/2014-703', 'Present')",7
"('29/05/2014-677', 'Present')",7
"('22/05/2015-350', 'Present')",7
"('30/05/2014-743', 'Present')",7
"('22/05/2015-371', 'Present')",7
"('22/05/2015-358', 'Present')",7
"('21/05/2015-226', 'Present')",7
"('29/05/2014-526', 'Present')",7
"('16/05/2013-492', 'Present')",7
"('27/05/2015-478', 'Present')",7
"('23/05/2014-89', 'Present')",7
"('21/05/2015-237', 'Present')",7
"('28/05/2014-263', 'Present')",7
