,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism,vote-time-h
176610,176610,21/05/2015-188,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:50:28,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 230),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號230）,Albert CHAN,陳偉業,Member,Yes,13.0
176680,176680,21/05/2015-189,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:52:17,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 231),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號231）,Albert CHAN,陳偉業,Member,Yes,13.0
176750,176750,21/05/2015-190,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:54:04,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 232),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號232）,Albert CHAN,陳偉業,Member,Yes,13.0
176820,176820,21/05/2015-191,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:55:52,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 233),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號233）,Albert CHAN,陳偉業,Member,Yes,13.0
176890,176890,21/05/2015-192,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:57:41,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 234),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號234）,Albert CHAN,陳偉業,Member,Yes,13.0
176960,176960,21/05/2015-193,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:59:34,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 235),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號235）,Albert CHAN,陳偉業,Member,Yes,13.0
194740,194740,22/05/2015-447,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,22/05/2015,13:00:28,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 170 (VOTE NO. 599),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目170的修正案 （表決編號599）,CHEUNG Kwok-che,張國柱,Member,Yes,13.0
203210,203210,04/06/2015-36,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:06:31,AMENDMENT BY HON LEE CHEUK-YAN TO HON CHAN YUEN-HAN’S MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,李卓人議員對陳婉嫻議員的「立法制訂標準工時」議案作出的修正案,LEE Cheuk-yan,李卓人,Member,Yes,13.0
203280,203280,04/06/2015-37,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:09:17,AMENDMENT BY HON IP KIN-YUEN TO HON CHAN YUEN-HAN’S MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,葉建源議員對陳婉嫻議員的「立法制訂標準工時」議案作出的修正案,IP Kin-yuen,葉建源,Member,Yes,13.0
203350,203350,04/06/2015-38,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:11:17,AMENDMENT BY HON YIU SI-WING TO HON CHAN YUEN-HAN’S MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,姚思榮議員對陳婉嫻議員的「立法制訂標準工時」議案作出的修正案,YIU Si-wing,姚思榮,Member,Yes,13.0
203420,203420,04/06/2015-39,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:13:06,AMENDMENT BY DR HON CHIANG LAI-WAN TO HON CHAN YUEN-HAN’S MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,蔣麗芸議員對陳婉嫻議員的「立法制訂標準工時」議案作出的修正案,Dr CHIANG Lai-wan,蔣麗芸,Member,Yes,13.0
203490,203490,04/06/2015-40,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:15:00,AMENDMENT BY DR HON LEUNG KA-LAU TO HON CHAN YUEN-HAN’S MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,梁家騮議員對陳婉嫻議員的「立法制訂標準工時」議案作出的修正案,Dr LEUNG Ka-lau,梁家騮,Member,Yes,13.0
203560,203560,04/06/2015-41,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/06/2015,13:24:35,MOTION ON “ENACTING LEGISLATION ON STANDARD WORKING HOURS”,「立法制訂標準工時」議案,CHAN Yuen-han,陳婉嫻,Member,Yes,13.0
204890,204890,25/06/2015-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,25/06/2015,13:01:32,"MOTION ON “IMPLEMENTATION AND CONTINUANCE OF ‘ONE COUNTRY, TWO SYSTEMS’”",「‘一國兩制’的實踐與延續」議案,Dennis KWOK,郭榮鏗,Member,Yes,13.0
205310,205310,13/07/2015-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/07/2015,23:28:54,MOTION ON “NOT FORGETTING THE 4 JUNE INCIDENT”,「毋忘六四」議案,SIN Chung-kai,單仲偕,Member,Yes,23.0
205380,205380,16/10/2015-1,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,16/10/2015,13:12:10,MOTION MOVED BY HON GARY FAN UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE,范國威議員根據《立法會（權力及特權）條例》動議的議案,Gary FAN,范國威,Member,Yes,13.0
207243,207243,26/11/2015-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,26/11/2015,13:29:31,AMENDMENT BY HON TANG KA-PIU TO HON CHAN HAK-KAN’S MOTION ON “DEVELOPING THE ECONOMY AND IMPROVING PEOPLE’S LIVELIHOOD”,鄧家彪議員對陳克勤議員的「發展經濟，改善民生」議案作出的修正案,TANG Ka-piu,鄧家彪,Member,Yes,13.0
207312,207312,26/11/2015-8,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,26/11/2015,13:37:15,MOTION TO SHORTEN DURATION OF DIVISION BELL,縮短點名表決響鐘時間的議案,MA Fung-kwok,馬逢國,Member,Yes,13.0
207381,207381,26/11/2015-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,26/11/2015,13:39:59,AMENDMENT BY HON JEFFREY LAM TO HON CHAN HAK-KAN’S MOTION ON “DEVELOPING THE ECONOMY AND IMPROVING PEOPLE’S LIVELIHOOD” AS AMENDED BY HON TANG KA-PIU,林健鋒議員對陳克勤議員就「發展經濟，改善民生」所提，經鄧家彪議員修正的議案，作出的修正案,Jeffrey LAM,林健鋒,Member,Yes,13.0
207450,207450,26/11/2015-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,26/11/2015,13:43:21,AMENDMENT BY HON ALAN LEONG TO HON CHAN HAK-KAN’S MOTION ON “DEVELOPING THE ECONOMY AND IMPROVING PEOPLE’S LIVELIHOOD” AS AMENDED BY HON TANG KA-PIU / HON JEFFREY LAM / HON SIN CHUNG-KAI,梁家傑議員對陳克勤議員就「發展經濟，改善民生」所提，經鄧家彪議員／林健鋒議員／單仲偕議員修正的議案，作出的修正案,Alan LEONG,梁家傑,Member,Yes,13.0
207519,207519,26/11/2015-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,26/11/2015,13:46:37,MOTION MOVED BY HON CHAN HAK-KAN ON “DEVELOPING THE ECONOMY AND IMPROVING PEOPLE’S LIVELIHOOD” AS AMENDED BY HON TANG KA-PIU / HON JEFFREY LAM / HON SIN CHUNG-KAI,陳克勤議員動議，經鄧家彪議員／林健鋒議員／單仲偕議員修正的「發展經濟，改善民生」議案,CHAN Hak-kan,陳克勤,Member,Yes,13.0
208832,208832,17/03/2016-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,17/03/2016,13:45:53,"BANKRUPTCY (AMENDMENT) BILL 2015 - COMMITTEE STAGE - THE SECRETARY FOR FINANCIAL SERVICES AND THE TREASURY’S AMENDMENTS TO CLAUSES 4, 5, 13 AND 15",《2015年破產（修訂）條例草案》 － 全體委員會審議階段 － 財經事務及庫務局局長的修正案 － 第4、5、13及15條,Secretary for Financial Services and the Treasury,財經事務及庫務局局長,Public Officer,No,13.0
213032,213032,11/05/2016-52,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,11/05/2016,13:00:04,APPROPRIATION BILL 2016 - COMMITTEE STAGE - AMENDMENT TO HEAD 45 (VOTE NO. 71),《2016年撥款條例草案》 － 全體委員會審議階段 － 總目45的修正案 （表決編號71）,Cyd HO,何秀蘭,Member,Yes,13.0
233472,233472,02/06/2016-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,02/06/2016,13:25:32,JUDICIARY (FIVE-DAY WEEK) (MISCELLANEOUS AMENDMENTS) BILL 2016 - THIRD READING,《2016年司法機構（五天工作周）（雜項修訂）條例草案》 － 三讀,The Chief Secretary for Administration,政務司司長,Public Officer,No,13.0
234802,234802,16/06/2016-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,16/06/2016,13:09:39,INTERCEPTION OF COMMUNICATIONS AND SURVEILLANCE (AMENDMENT) BILL 2015 - THIRD READING,《2015年截取通訊及監察（修訂）條例草案》 － 三讀,Secretary for Security,保安局局長,Public Officer,No,13.0
