,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism
167792,167792,20/05/2015-61,LEE Cheuk-yan,Present,LEE Cheuk-yan,李卓人,20/05/2015,18:32:53,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 31 (VOTE NO. 85),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目31的修正案 （表決編號85）,LEE Cheuk-yan,李卓人,Member,Yes
167862,167862,20/05/2015-62,LEE Cheuk-yan,Present,LEE Cheuk-yan,李卓人,20/05/2015,18:34:47,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 31 (VOTE NO. 86),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目31的修正案 （表決編號86）,LEE Cheuk-yan,李卓人,Member,Yes
169209,169209,20/05/2015-81,Cyd HO,Present,Cyd HO,何秀蘭,20/05/2015,19:10:09,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 44 (VOTE NO. 105),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目44的修正案 （表決編號105）,Cyd HO,何秀蘭,Member,Yes
169279,169279,20/05/2015-82,Cyd HO,Present,Cyd HO,何秀蘭,20/05/2015,19:12:12,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 44 (VOTE NO. 106),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目44的修正案 （表決編號106）,Cyd HO,何秀蘭,Member,Yes
169612,169612,20/05/2015-87,LEE Cheuk-yan,Present,LEE Cheuk-yan,李卓人,20/05/2015,19:21:20,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 45 (VOTE NO. 111),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目45的修正案 （表決編號111）,LEE Cheuk-yan,李卓人,Member,Yes
169682,169682,20/05/2015-88,LEE Cheuk-yan,Present,LEE Cheuk-yan,李卓人,20/05/2015,19:23:17,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 45 (VOTE NO. 112),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目45的修正案 （表決編號112）,LEE Cheuk-yan,李卓人,Member,Yes
170336,170336,20/05/2015-97,CHEUNG Kwok-che,Present,CHEUNG Kwok-che,張國柱,20/05/2015,19:51:55,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 47 (VOTE NO. 121),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目47的修正案 （表決編號121）,CHEUNG Kwok-che,張國柱,Member,Yes
172989,172989,21/05/2015-135,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,10:31:51,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 166),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號166）,Cyd HO,何秀蘭,Member,Yes
173059,173059,21/05/2015-136,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,10:33:47,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 167),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號167）,Cyd HO,何秀蘭,Member,Yes
173923,173923,21/05/2015-148,Gary FAN,Abstain,Gary FAN,范國威,21/05/2015,10:55:44,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 60 (VOTE NO. 180),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目60的修正案 （表決編號180）,Gary FAN,范國威,Member,Yes
177846,177846,21/05/2015-205,CHAN Chi-chuen,Absent,CHAN Chi-chuen,陳志全,21/05/2015,14:22:15,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 247),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號247）,CHAN Chi-chuen,陳志全,Member,Yes
178099,178099,21/05/2015-209,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,14:30:35,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 95 (VOTE NO. 251),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目95的修正案 （表決編號251）,Cyd HO,何秀蘭,Member,Yes
178239,178239,21/05/2015-211,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,14:34:50,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 95 (VOTE NO. 253),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目95的修正案 （表決編號253）,Cyd HO,何秀蘭,Member,Yes
178309,178309,21/05/2015-212,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,14:36:51,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 95 (VOTE NO. 254),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目95的修正案 （表決編號254）,Cyd HO,何秀蘭,Member,Yes
178379,178379,21/05/2015-213,Cyd HO,Present,Cyd HO,何秀蘭,21/05/2015,14:39:21,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 95 (VOTE NO. 255),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目95的修正案 （表決編號255）,Cyd HO,何秀蘭,Member,Yes
184017,184017,21/05/2015-293,Dr Fernando CHEUNG,Present,Dr Fernando CHEUNG,張超雄,21/05/2015,17:51:36,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 141 (VOTE NO. 370),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目141的修正案 （表決編號370）,Dr Fernando CHEUNG,張超雄,Member,Yes
193156,193156,22/05/2015-424,CHEUNG Kwok-che,Present,CHEUNG Kwok-che,張國柱,22/05/2015,12:15:07,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 156 (VOTE NO. 564),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目156的修正案 （表決編號564）,CHEUNG Kwok-che,張國柱,Member,Yes
